step,episode,buffer_size,total_time,total_steps,ep_reward,ep_steps,ep_count,packages_lost,speed_mean,speed_max,BestLap,LapNo_0,update_model_perf_mean,update_model_perf_max,update_model_perf_std,step_perf_mean,step_perf_max,step_perf_std,step_perf_q99,step_perf_> thres,action_perf_mean,action_perf_max,action_perf_std,policy_loss,entropy_loss,alpha,entropy,LapNo_1,LapNo_2,LapNo_3,LapNo_4,LapNo_5
221,1,221,10.512866258621216,224,2.1812067933064174,222,1,0,0.884308651458579,3.8299930095672607,0.0,0.0,9.800904977049539e-07,2.600000001962144e-06,4.517056573557961e-07,0.04003661855203612,0.04141029999999901,0.0005276221801155632,0.04095398000000046,2,7.486334841620179e-05,0.00020240000000093517,1.517463845164056e-05,,,,,,,,,
731,2,731,32.346861362457275,737,6.091076408895397,511,2,0,1.2569636685039356,13.363847732543945,0.0,0.0,1.047450980260968e-06,3.6999999970532826e-06,4.438063663478295e-07,0.04002110999999966,0.04312089999999813,0.0007562437430225165,0.041390996000003,35,7.271901960764749e-05,0.0001393000000007305,1.2731244991854942e-05,,,,,,,,,
1500,3,1500,64.59056258201599,1509,8.10833935758559,770,3,0,1.130941243084713,10.754779815673828,0.0,0.0,9.648894668894538e-07,2.900000005467973e-06,4.196909128875782e-07,0.040030440312093685,0.04271299999999201,0.0006958077817675186,0.041674915999997494,44,7.299063719099205e-05,0.00024709999999572574,1.2940039402605322e-05,,,,,,,,,
1793,4,1793,77.76828932762146,1805,4.92150214215945,294,4,0,1.9095704053935665,7.58381986618042,0.0,0.0,1.0156996585928378e-06,2.4999999936881068e-06,3.680396437513013e-07,0.04002780477815682,0.04276329999999007,0.0007208094392355477,0.041739443999997544,19,8.649453924938339e-05,0.0001552999999887561,1.4953875759475674e-05,,,,,,,,,
2901,5,2901,123.59461712837219,2916,177.3230597368914,1109,5,0,15.700423199867236,54.03123474121094,0.0,0.0,0.011960172653429555,0.15541410000000155,0.008157208683177356,0.04001797861010852,0.2965362000000056,0.007956501164746258,0.04151515400000449,99,0.003009974277978601,0.13900069999999687,0.004509926147803527,,,,,,,,,
3628,6,3628,154.14627623558044,3646,193.1707581830095,728,6,0,25.81200890470679,52.53898620605469,0.0,0.0,0.01195221980742754,0.031093900000001895,0.0023466337675435945,0.04001900165061863,0.04200029999998378,0.0006753478018598336,0.041368916000000124,51,0.0029297629986245223,0.010068300000000363,0.0008170823597785514,,,,,,,,,
3832,7,3832,163.72336649894714,3853,5.553481672200681,205,7,0,3.5296524953057355,10.584572792053223,0.0,0.0,0.01142292745098045,0.018485999999995784,0.0020080919077399046,0.04004028431372366,0.04169009999998252,0.0006424228960743188,0.041320809000008014,16,0.0030115142156857673,0.004291299999977127,0.0005144640703218913,,,,,,,,,
4045,8,4045,173.6925973892212,4069,33.02538788093868,214,8,0,14.890866204294937,23.794124603271484,0.0,0.0,0.01266467323943691,0.017511899999988145,0.0017401990934836624,0.04003089342722981,0.04330999999999108,0.0008977588051152937,0.0429952439999829,24,0.0031020384976540847,0.005029400000012174,0.0006537363393108556,,,,,,,,,
5550,9,5550,235.46433782577515,5577,337.64417327697396,1506,9,0,20.72914558630484,56.724369049072266,0.0,0.0,0.013606049435215949,0.026842700000003106,0.0031513827874371596,0.04001813820597981,0.044503300000002355,0.0008859597409138695,0.04216274400000998,156,0.003503800398670967,0.01067760000000817,0.001187296642196537,-29.258207321166992,-4.989951133728027,0.34447523951530457,1.6834633350372314,,,,,
5642,10,5642,240.56983280181885,5672,5.143635453831008,93,10,0,6.320966648721507,13.747186660766602,0.0,0.0,0.0147099369565239,0.023706900000007636,0.002851546311739997,0.04006166413043388,0.04171689999998307,0.0007479747292262072,0.04140513399999946,10,0.004057265217389457,0.008856399999984887,0.001412871522930108,,,,,,,,,
6128,11,6128,261.4813678264618,6161,150.52609785861839,487,11,0,29.86887375351034,43.51470947265625,0.0,0.0,0.014492387654320914,0.024944900000008374,0.0029605562844555087,0.0400337320987659,0.04447120000003224,0.0009574141430943054,0.04265070999999238,53,0.00385771337448519,0.007949999999993906,0.0014241065212821178,,,,,,,,,
6996,12,6996,297.8323140144348,7032,272.52262400344,869,12,0,29.321704885309885,56.57280731201172,0.0,0.0,0.014961424769584774,0.02827669999999216,0.003462662537807733,0.04002525783410203,0.04392510000002403,0.000733122799371425,0.04144045400001005,61,0.003908008870968069,0.010029399999950783,0.0015546377025685589,,,,,,,,,
7280,13,7280,310.6192388534546,7319,24.403037394755888,285,13,0,9.468418733661855,32.00528335571289,0.0,0.0,0.014387723943662488,0.024993099999960577,0.0028736295146725922,0.04001946161971854,0.044677599999999984,0.0008699405844040262,0.04250065900000891,14,0.00364224401408599,0.00795260000001008,0.001388635578949806,-33.66902160644531,-6.601515769958496,0.20908226072788239,1.2189083099365234,,,,,
