step,episode,buffer_size,total_time,total_steps,ep_reward,ep_steps,ep_count,packages_lost,speed_mean,speed_max,BestLap,LapNo_0,update_model_perf_mean,update_model_perf_max,update_model_perf_std,step_perf_mean,step_perf_max,step_perf_std,step_perf_q99,step_perf_> thres,action_perf_mean,action_perf_max,action_perf_std,policy_loss,entropy_loss,alpha,entropy,LapNo_1
199,1,199,9.643218278884888,202,2.377770939911209,200,1,0,1.0699139195727185,4.356079578399658,0.0,0.0,6.663316583122918e-07,5.200000000371574e-06,4.221530249162856e-07,0.04001143567839188,0.04171150000000168,0.0005066217500975873,0.041500068000000855,5,6.525728643212651e-05,0.0015372999999989645,0.00010502353234580547,,,,,
515,2,515,23.71707320213318,521,10.40181320990403,317,2,0,3.259056243054864,9.08614444732666,0.0,0.0,5.794303798061847e-07,2.799999997193936e-06,2.9043996228199264e-07,0.040004380379746886,0.04142879999999849,0.0004509355238172135,0.04094692499999937,1,5.8127848101400585e-05,0.00012109999999765364,8.389477838581251e-06,,,,,
902,3,902,40.66033673286438,911,10.92334719682841,388,3,0,3.1491648189989925,13.369217872619629,0.0,0.0,6.124031007529277e-07,2.500000000793534e-06,2.5639351763568386e-07,0.04004610775193813,0.04874629999999769,0.000809235629258021,0.04152725999999958,26,5.833049095591925e-05,8.780000000285781e-05,5.675465172994914e-06,,,,,
1028,4,1028,47.13583707809448,1040,2.8151794665691634,127,4,0,1.969907945829561,8.869339942932129,0.0,0.0,6.97619047594611e-07,2.099999996119095e-06,2.923534185646905e-07,0.04005203809523785,0.04160909999999518,0.0005831387814148357,0.04143792500000032,8,6.235000000037826e-05,9.299999999967667e-05,7.754873019849594e-06,,,,,
1111,5,1111,51.88565802574158,1126,1.9786216091125748,84,5,0,2.0974579424956965,5.715187072753906,0.0,0.0,6.265060237131158e-07,2.300000005561742e-06,3.340457874873125e-07,0.040031021686747825,0.041483899999988694,0.000544830479006737,0.041105715999997294,2,6.0786746988196956e-05,0.00010790000000326927,8.506408231025794e-06,,,,,
1479,6,1479,68.0373260974884,1497,4.4188763442683285,369,6,0,1.0591358874323002,6.324324131011963,0.0,0.0,7.173913041584782e-07,3.000000006636583e-06,3.41228183103996e-07,0.04000471168478289,0.041434199999997645,0.0005409759570317189,0.04115770199999417,9,6.042853260828482e-05,0.00014089999999100655,8.144495074411795e-06,,,,,
2061,7,2061,92.77723860740662,2082,3.7015016102556166,583,7,0,0.9517284771343146,7.4352803230285645,0.0,0.0,0.0012361989690719518,0.17546679999999526,0.00774306507470591,0.04003744621993131,0.4099274999999949,0.015922703868216585,0.041263748000001495,26,0.0006610680412365975,0.23285140000000126,0.009653280357245306,,,,,
3132,8,3132,137.1171498298645,3156,377.0766397664644,1072,8,0,32.71382835013421,65.61514282226562,0.0,0.0,0.008953187394957802,0.014084300000007488,0.0009712809802599465,0.04002969355742295,0.042336599999998725,0.0005465357966130359,0.041216999999991795,28,0.0024439644257703264,0.004458200000001966,0.000475093117881155,,,,,
4366,9,4366,187.971120595932,4393,46.807114208523814,1235,9,0,3.6497994029008867,14.360294342041016,0.0,0.0,0.009187016288492849,0.013588100000021086,0.001070906351733823,0.0400155443273909,0.04191159999999172,0.0006042388662673183,0.04117896399999409,39,0.002586933711507462,0.004333400000007259,0.0004892016265553295,,,,,
4416,10,4416,191.37208151817322,4446,2.245854086091393,51,10,0,3.9961231067849723,9.425058364868164,0.0,0.0,0.009935422000000358,0.013302699999997003,0.0012520667180753548,0.0400071059999982,0.04111939999998526,0.0006014314848459862,0.04108284599998285,2,0.0025547760000011977,0.003879499999982272,0.0005555974411618391,,,,,
4491,11,4491,195.78138279914856,4524,2.821543768067465,76,11,0,3.6623237784860017,5.776117324829102,0.0,0.0,0.010041152000000012,0.01365439999997875,0.0009640552698351739,0.04004020933333474,0.04143540000001167,0.000630283632696835,0.041290729999998346,3,0.0025785653333328658,0.0037500999999906526,0.000577293790600122,,,,,
5278,12,5278,228.7567253112793,5314,266.4015261562676,788,12,0,30.62761107861578,57.3843879699707,0.0,0.0,0.009970377509529423,0.014457399999997733,0.0013305826862205189,0.0400331724269372,0.04220390000000407,0.0006385610610830088,0.0414140339999966,34,0.002640244599746211,0.004800099999982876,0.0006355307089055466,,,,,
5591,13,5591,242.69897174835205,5630,71.82000545917776,314,13,0,21.463486881056877,33.77758026123047,0.0,0.0,0.010411587859425454,0.017951199999998835,0.0018978028344175378,0.04003341565495244,0.04180350000001454,0.0006697443241450318,0.04136940800000275,22,0.0027764875399363008,0.005197500000008404,0.0006810406546553964,,,,,
5973,14,5973,259.3900685310364,6015,116.65089346114391,383,14,0,28.214018393183302,44.54258346557617,0.0,0.0,0.009793665968585247,0.015541400000017802,0.0015906609465401475,0.040028550523560705,0.041495199999985743,0.0006196894234667665,0.041209094000018924,20,0.002683088481675463,0.0039939999999774045,0.0005507594789355577,,,,,
7080,15,7080,305.18447613716125,7125,345.6790705051483,1108,15,0,28.514454940453952,61.30174255371094,0.0,0.0,0.010238191779584644,0.017475699999977223,0.0017896895381079125,0.040037890966576985,0.04657409999998663,0.0006869232338901306,0.04140869399999019,68,0.002577944173442408,0.0049080000000003565,0.0006108016659524435,-23.879953384399414,-6.616854667663574,0.21969224512577057,1.3668627738952637,
7187,16,7187,310.8681495189667,7235,5.850582029942505,108,16,0,5.313007779844122,11.223485946655273,0.0,0.0,0.009760102803738846,0.013981300000011743,0.0015416342872457151,0.04002617383177439,0.041970999999989544,0.0006458521312101235,0.04116621000000237,5,0.0026247542056046205,0.0044790000000034524,0.0006272553885620091,,,,,
8048,17,8048,346.87805342674255,8099,340.44566833288445,862,17,0,37.53622506338273,53.88663101196289,0.0,0.0,0.010043697328688416,0.015982300000018768,0.0017027790780917494,0.040031791637630834,0.041752900000005866,0.0006132500001196875,0.04128902000002199,41,0.0026845000000019726,0.004703899999981331,0.0006345067046220164,,,,,
8976,18,8976,385.4968831539154,9030,364.0473644055024,929,18,0,35.07280095038894,48.83388900756836,0.0,0.0,0.009822127262931492,0.015754500000014104,0.0017200650698269483,0.04005516250000077,0.04893170000002556,0.0006796159980786495,0.04134610500000974,50,0.0026085746767258436,0.004605299999980161,0.0005974080597765848,,,,,
9211,19,9211,396.32778549194336,9268,34.11140905827695,236,19,0,16.014176980646077,30.73408317565918,0.0,0.0,0.009178956595745759,0.015788700000030076,0.0014255536045903242,0.04004571872340401,0.042579299999999876,0.0006259476865428316,0.041232997999973126,8,0.002548952340427914,0.004335200000014083,0.000615379990981926,,,,,
9459,20,9459,407.6885778903961,9519,13.652060093503394,249,20,0,5.935968583287956,20.544462203979492,0.0,0.0,0.00916243548387148,0.012658499999986361,0.0009235012629176962,0.04001058709677283,0.04264060000002701,0.0006140216739878013,0.04102903100000446,4,0.0025860895161284795,0.003989900000021862,0.0005589772604604004,,,,,
10163,21,10163,437.30989837646484,10226,318.82522058972086,705,21,0,42.44306943831529,62.217464447021484,0.0,0.0,0.008876533522726165,0.012450300000011794,0.0010138401055760067,0.0400116728693182,0.04169170000000122,0.0006380887214912241,0.04127199800001563,34,0.0024182180397730557,0.0036938999999733824,0.00039708384866637226,,,,,
10711,22,10711,460.6826946735382,10777,202.43269140311463,549,22,0,33.5205643920744,45.4383659362793,0.0,0.0,0.00885997153284777,0.01328569999998308,0.0011289964298941278,0.04003658339416148,0.042345599999976,0.0006289962768952414,0.04133672600001489,23,0.0023759791970806177,0.004639199999985522,0.00044141952582464774,,,,,
11360,23,11360,488.09944796562195,11429,285.40632853252794,650,23,0,39.839497991209456,65.2379150390625,0.0,0.0,0.008704574730353347,0.014040700000009565,0.0010129442656505434,0.04001849368258633,0.043359099999975115,0.000664493098884329,0.04125997199999574,32,0.0023231412942983053,0.004397400000016205,0.0004235952991147541,-20.810760498046875,-9.111331939697266,0.0654088631272316,0.34136682748794556,
11986,24,11986,519.6090137958527,12058,275.0113566767288,627,24,0,42.27331404157924,59.27688217163086,0.0,0.0,0.009465905910543441,0.01775780000002669,0.001995981336134269,0.04801285559105622,2.6040725000000293,0.11621905504801561,0.05689857500001949,55,0.00392027539936335,0.8513050999999905,0.03398293925996801,,,,,
12990,25,12990,561.243860244751,13065,462.44469176314556,1005,25,0,41.79171790832385,58.77903747558594,0.0,0.0,0.009573970916334251,0.018264099999896644,0.0019612798664119524,0.0400209946215137,0.04243890000009287,0.0005859641411688843,0.041268218999967986,27,0.002414207768924078,0.006946199999902092,0.00038267236402186265,-21.828754425048828,-7.722802639007568,0.04240439087152481,-0.556261420249939,
13733,26,13733,592.4465548992157,13811,331.4110055256855,744,26,0,40.57171023670885,58.90283203125,0.0,0.0,0.009637771736201107,0.016284899999959634,0.0020500861170799503,0.04001449111709171,0.04162339999993492,0.0006044212699798794,0.04111701000000721,19,0.0023974409152093972,0.005699100000015278,0.00042802599991610056,,,,,
14284,27,14284,615.9203305244446,14365,209.9512844045143,552,27,0,33.89915156030337,44.10016632080078,0.0,0.0,0.009430434119779918,0.017293200000040088,0.002039568699722698,0.0400318678765866,0.041551400000003014,0.000590230723381724,0.04126024999999345,18,0.0023668001814895843,0.006748399999992216,0.0005134007916523167,,,,,
14861,28,14861,641.7632343769073,14945,279.1743148045143,578,28,0,43.37246827171208,66.84938049316406,0.0,0.0,0.009663159965336815,0.017461800000091898,0.002218028155185954,0.04227448734835561,1.2992180999999619,0.05239994478113159,0.04132765200000449,34,0.002524436568460717,0.053379399999926136,0.0022279609267389076,,,,,
