step,episode,buffer_size,total_time,total_steps,ep_reward,ep_steps,ep_count,packages_lost,speed_mean,speed_max,BestLap,LapNo_0,update_model_perf_mean,update_model_perf_max,update_model_perf_std,step_perf_mean,step_perf_max,step_perf_std,step_perf_q99,step_perf_> thres,action_perf_mean,action_perf_max,action_perf_std,policy_loss,entropy_loss,alpha,entropy,LapNo_1,LapNo_2,LapNo_3,LapNo_4,LapNo_5
156,1,156,7.89575457572937,159,3.514710914537419,157,1,0,2.5735250912650462,4.955456733703613,0.0,0.0,7.205128205292692e-07,1.7999999997186933e-06,3.515018964087578e-07,0.04000332179487176,0.04246129999999937,0.0005612920778921308,0.04111654999999903,5,7.825320512812922e-05,0.0015914000000005757,0.000122221302761461,,,,,,,,,
254,2,254,13.228453159332275,260,1.9907348262795628,99,2,0,1.8111779451066854,8.484437942504883,0.0,0.0,6.887755102414475e-07,1.7000000021027972e-06,3.2572764795262924e-07,0.04002424081632659,0.04170179999999846,0.0006961532295019668,0.04158617599999815,9,6.211632653070479e-05,9.73999999978048e-05,6.6605554382988025e-06,,,,,,,,,
462,3,462,22.972352266311646,471,2.9900795664256403,209,3,0,1.712481921318552,8.556838035583496,0.0,0.0,7.596153845592987e-07,3.3000000030369847e-06,4.586810587932069e-07,0.0400617076923075,0.04205060000000316,0.0007975078178652803,0.04165780800000018,26,6.603269230732477e-05,0.00012879999999881875,1.1769047101259679e-05,,,,,,,,,
1028,4,1028,47.0496826171875,1040,12.806589075892237,567,4,0,2.735904291950534,8.075640678405762,0.0,0.0,6.738515902350334e-07,7.899999999949614e-06,4.306150658969526e-07,0.04002697632508851,0.041344100000003436,0.0005021018136563086,0.041143485000002755,12,6.203657243819864e-05,0.00013059999999853744,6.889897985859345e-06,,,,,,,,,
1502,5,1502,67.45353126525879,1517,8.203961815215866,475,5,0,1.6369120452594699,5.11065673828125,0.0,0.0,6.455696202272257e-07,2.600000001962144e-06,3.1407118516081023e-07,0.04002561962025289,0.04253679999999349,0.0006536134923637338,0.0415009830000011,26,6.277911392397566e-05,0.00019380000000523978,8.849453870842864e-06,,,,,,,,,
2175,6,2175,95.8510193824768,2193,8.240375745432475,674,6,0,1.319254608911189,8.530550956726074,0.0,0.0,0.00279895616641931,0.19199700000000064,0.008476013392390779,0.04003680832095122,0.43350860000001035,0.015722229607361745,0.04142435599999942,43,0.0009156187221397115,0.2400246999999922,0.009267141831437729,,,,,,,,,
2930,7,2930,127.5178451538086,2951,202.22070464311662,756,7,0,30.577261620146043,56.62870788574219,0.0,0.0,0.009671532317881051,0.013937900000001946,0.001446167231136092,0.04002967827814566,0.04187369999999646,0.0005479132965490354,0.041221038000004456,21,0.0021823818543046008,0.003837700000005384,0.0005759309890844645,-29.53792953491211,-1.3844733238220215,0.7505101561546326,1.8291020393371582,,,,,
3773,8,3773,162.67854952812195,3797,196.62782201565477,844,8,0,21.711241969269214,42.966312408447266,0.0,0.0,0.009557397508897454,0.01585160000001906,0.0014586519136121424,0.04000667900355825,0.04208280000000286,0.0006525502553268312,0.041342861999986553,46,0.0021993632265718166,0.003677199999998493,0.0005614195821421958,,,,,,,,,
4599,9,4599,197.18395113945007,4626,328.65655181343294,827,9,0,36.07055792218314,61.271629333496094,0.0,0.0,0.00938663256658567,0.015603499999997439,0.0013977979202845815,0.04001934685229966,0.042042700000024524,0.000500030806456036,0.04097829999998481,8,0.002246077966101788,0.012918600000006109,0.0006803556808170902,,,,,,,,,
4925,10,4925,211.6515600681305,4955,73.4616673352573,327,10,0,20.688400780060114,43.778892517089844,0.0,0.0,0.0109849788343555,0.01895850000002497,0.0018485571620989094,0.04004569233128818,0.04373010000000477,0.0007992665472744013,0.04175587500000688,37,0.002355253374233257,0.008268700000002127,0.0007309889906088245,,,,,,,,,
