step,episode,buffer_size,total_time,total_steps,ep_reward,ep_steps,ep_count,packages_lost,speed_mean,speed_max,BestLap,LapNo_0,update_model_perf_mean,update_model_perf_max,update_model_perf_std,step_perf_mean,step_perf_max,step_perf_std,step_perf_q99,step_perf_> thres,action_perf_mean,action_perf_max,action_perf_std,policy_loss,entropy_loss,alpha,entropy,LapNo_1,LapNo_2,LapNo_3,LapNo_4,LapNo_5
120,1,120,6.513201951980591,123,3.22560503513301,121,1,0,3.170006390196783,9.502074241638184,0.0,0.0,7.658333331346985e-07,4.199999999343618e-06,4.5138598282229583e-07,0.04004480916666653,0.0427388999999998,0.00074462393338234,0.04184719500000117,9,7.625499999998434e-05,0.0006194999999991069,5.252048624102125e-05,,,,,,,,,
512,2,512,23.626787662506104,518,6.607826830818494,393,2,0,1.7234059488968083,5.161775588989258,0.0,0.0,6.948979591475781e-07,4.300000000512227e-06,3.6298716712063363e-07,0.0400334701530612,0.043028800000001866,0.0007175284847875053,0.041422133000003705,31,5.823698979594651e-05,9.500000000173259e-05,6.495837294946075e-06,,,,,,,,,
892,3,892,40.29326391220093,901,3.808402062203857,381,3,0,1.1772525236658322,11.198820114135742,0.0,0.0,8.442105264207026e-07,2.1000000032245225e-06,3.088913244530576e-07,0.04004270921052625,0.04166270000000338,0.0004808967308928082,0.041207171000000715,11,6.562947368424426e-05,0.0001565999999968426,1.3878154918042922e-05,,,,,,,,,
1608,4,1608,70.38975214958191,1620,5.344397643994809,717,4,0,0.6827444340083053,5.244223594665527,0.0,0.0,8.571229048030125e-07,3.0999999864889105e-06,3.293248406612039e-07,0.04001881452514002,0.042453300000005356,0.0004987475228777279,0.04108527499999255,11,6.50747206704707e-05,0.0001749000000046408,1.1359771250132578e-05,,,,,,,,,
1969,5,1969,86.27769041061401,1984,7.544141846224017,362,5,0,2.132540682162054,10.445548057556152,0.0,0.0,8.878116344300712e-07,3.2000000089738023e-06,4.300562717244345e-07,0.04001619667590028,0.04257069999999885,0.0008430852297950424,0.04208776000000114,44,6.939556786652414e-05,0.00013260000000059335,1.4072047783792577e-05,,,,,,,,,
2609,6,2609,113.32601857185364,2627,310.6434014363406,641,6,0,42.26364004918608,66.0495376586914,0.0,0.0,0.010155610312500275,0.18570660000000316,0.007520039792578098,0.04001093921875023,0.44814610000000243,0.01665472654686149,0.04162887700000255,52,0.0029885471875002122,0.2605064999999911,0.01022013856298182,,,,,,,,,
2896,7,2896,126.23354721069336,2917,63.82602993723225,288,7,0,21.930512138992224,32.73834991455078,0.0,0.0,0.010699534146341175,0.020961499999998523,0.002172668631711819,0.04001836898954778,0.043036400000005415,0.0006588174790571502,0.04160728600002187,24,0.0026840512195124224,0.0040246000000081494,0.0005202090486281819,,,,,,,,,
3058,8,3058,134.1507625579834,3082,16.824628156589693,163,8,0,9.864213241603828,18.78850746154785,0.0,0.0,0.010310870370371159,0.019332499999990205,0.002008205314834636,0.040027475308641494,0.043304000000006226,0.000740623642037202,0.042285895000010766,10,0.0026547506172835745,0.004066599999987375,0.000436253254152931,,,,,,,,,
3504,9,3504,153.42543578147888,3531,11.651215272138767,447,9,0,2.437392957880468,10.471033096313477,0.0,0.0,0.009701127802690985,0.014894599999990987,0.0015107604615956548,0.04003755403587381,0.041979499999996506,0.0005850888262018491,0.04134330000000546,18,0.0026130885650224762,0.004016400000011799,0.0004717719169693023,,,,,,,,,
3691,10,3691,162.33697891235352,3721,10.856951622757839,188,10,0,5.23884097624637,19.073848724365234,0.0,0.0,0.009504214973261657,0.013967199999996183,0.001402906698194706,0.04001713529411649,0.04143499999997857,0.0005455369244813265,0.04133946599998808,8,0.002698389304814032,0.003935299999994868,0.0005074899258167876,,,,,,,,,
3762,11,3762,166.60940027236938,3795,5.193713521195933,72,11,0,6.509223692518491,14.913525581359863,0.0,0.0,0.009851677464786955,0.013659100000012359,0.0015254834690781832,0.04007241549296071,0.04188959999999042,0.0005685053887922528,0.041421720000013804,3,0.0025751267605647775,0.0043366999999818745,0.0005276107250335764,,,,,,,,,
3902,12,3902,173.6302797794342,3938,8.762368782917768,141,12,0,5.5784516749583215,9.033713340759277,0.0,0.0,0.010213573571428469,0.015078499999987116,0.002032725458681008,0.04004680857142822,0.04132729999997764,0.000551411543285503,0.04116389599998513,6,0.002596565714284996,0.0035800999999935357,0.00043145580402237046,,,,,,,,,
4047,13,4047,180.82277393341064,4086,13.072435222775896,146,13,0,9.243678421037247,15.732802391052246,0.0,0.0,0.009862146206896913,0.016036799999994855,0.001661908464179926,0.04001456551724036,0.04198279999999954,0.0005884454353604774,0.04135182800001303,7,0.002486917931034033,0.004128199999996696,0.000526123952179811,,,,,,,,,
4726,14,4726,209.44323754310608,4768,16.100375969319096,680,14,0,2.2260723921650105,11.346183776855469,0.0,0.0,0.009845639911635144,0.016118500000004587,0.0016845061252987836,0.040038781148747656,0.04202000000000794,0.0005829248781587525,0.04137898000000234,29,0.0025595833578800123,0.004110500000024331,0.0005182664169542101,,,,,,,,,
5753,15,5753,252.02558493614197,5798,349.14674085546113,1028,15,0,29.785637662819564,61.519142150878906,0.0,0.0,0.010305620837390464,0.018569700000000466,0.0020810341749108894,0.04002459191820843,0.04327779999999848,0.0005751243751880055,0.04137738400000274,33,0.0025600310613434255,0.005400099999974373,0.0005073181348332674,,,,,,,,,
5905,16,5905,259.53256273269653,5953,11.764927547175017,153,16,0,7.788762158050743,15.986310005187988,0.0,0.0,0.010972738815787489,0.01649600000001783,0.0018168613443568364,0.04000170921052758,0.04145060000001877,0.0005348057540104574,0.041105258000023924,5,0.0023589243421091354,0.0036413999999922453,0.0003705244228057027,,,,,,,,,
6336,17,6336,278.22589111328125,6387,111.5827815640556,432,17,0,24.54460405439561,43.35734176635742,0.0,0.0,0.01078726102088263,0.016571300000009614,0.0019146423183109451,0.040024590719256986,0.04204679999998007,0.000586651884987308,0.04114549999998758,16,0.0023866577726214806,0.004051699999990888,0.0004033195418439053,,,,,,,,,
7423,18,7423,323.2274146080017,7477,391.33793347830994,1088,18,0,32.482846733352,58.45722579956055,0.0,0.0,0.011048904139834614,0.018680400000050668,0.002011247273640577,0.04002209586016556,0.042028399999992416,0.0005755533143453937,0.04133408800001235,36,0.0025134671573135256,0.0051616999999737345,0.0005128911825074393,,,,,,,,,
8923,19,8923,384.78087854385376,8980,731.9208220003613,1501,19,0,44.417898565833795,63.271697998046875,0.0,0.0,0.010775148666665624,0.017300299999988056,0.0018166014662340433,0.04002689106666791,0.04425130000004174,0.000551999930508196,0.041236751000012645,40,0.0024835573333330105,0.0044323000000190405,0.00044773945811497207,,,,,,,,,
9694,20,9694,417.22865772247314,9754,333.936008819192,772,20,0,38.53193960335755,63.71142578125,0.0,0.0,0.011320439040206973,0.02050289999999677,0.002068809544217436,0.040025608300908844,0.041820099999995364,0.0005763253138872913,0.04131486000001701,36,0.002501996757458052,0.004649299999982759,0.000441811499121105,,,,,,,,,
11387,21,11387,486.49891996383667,11450,860.2745009301042,1694,21,0,45.33417268841242,65.4813003540039,0.0,0.0,0.010760717897224789,0.02027340000000777,0.0017557989259601395,0.04002473165977429,0.046596800000031635,0.0006022544498993067,0.04130699600000298,64,0.0025242538098044515,0.0050341000000457825,0.00044016514033473473,,,,,,,,,
12416,22,12416,529.1164062023163,12482,402.8280843831908,1030,22,0,36.25998703449037,64.75736999511719,0.0,0.0,0.010877522254616885,0.02006610000000819,0.0017811586155151845,0.04001401856170925,0.04213590000000522,0.0006380106562041244,0.04146222400001534,55,0.002508538775509717,0.00759890000000496,0.0005126986049309402,,,,,,,,,
