ep_count,ep_steps,total_steps,packages_lost,ep_reward,speed_mean,speed_max,BestLap,LapNo_0,LapNo_1
1,168,170,0,4.239113983816273,2.885160510053365,10.120275497436523,0.0,0.0,
2,213,385,0,2.9466528325309254,1.6603317045286394,8.529349327087402,0.0,0.0,
3,248,635,0,0.29125938437001714,0.09803377079257306,0.9795857667922974,0.0,0.0,
4,204,841,0,5.24751200807618,2.736527950653302,12.047651290893555,0.0,0.0,
5,168,1011,0,3.2028546296009455,2.3019929353928696,10.640697479248047,0.0,0.0,
6,571,1584,0,4.269830861411357,0.8722969730523897,9.8172025680542,0.0,0.0,
7,384,1970,0,3.8063854199763796,0.9686556076543033,5.803332805633545,0.0,0.0,
8,67,2039,0,2.6727547052381424,3.5551306357183283,8.243124008178711,0.0,0.0,
9,216,2257,0,43.179754250349745,19.36988319713176,33.795204162597656,0.0,0.0,
10,879,3138,0,403.3467183532589,42.29916922442495,66.45587158203125,0.0,0.0,
11,779,3919,0,103.13742488655288,12.07895966497458,43.349613189697266,0.0,0.0,
12,666,4587,0,188.65166551121672,28.772580046966382,46.29267883300781,0.0,0.0,
13,379,4968,0,25.07277908682156,6.426123573929489,22.173084259033203,0.0,0.0,
14,193,5163,0,16.49575917987641,7.874273991102468,14.66112232208252,0.0,0.0,
15,1513,6678,0,469.5550731144445,28.451719576406,47.066837310791016,0.0,0.0,
16,533,7213,0,67.90239773643997,13.164251160837612,35.35063171386719,0.0,0.0,
17,792,8007,0,265.7436981765896,30.89878577640918,57.83127212524414,0.0,0.0,
18,697,8706,0,355.27188210146045,45.18086041403678,64.43582153320312,0.0,0.0,
19,623,9331,0,71.56957553875624,11.363450795139805,25.06237030029297,0.0,0.0,
20,1054,10387,0,445.0352590292151,37.83997199571412,58.90983581542969,0.0,0.0,
21,248,10637,0,0.01160005791916972,0.0039024823179774574,0.015912601724267006,0.0,0.0,
22,651,11290,0,80.0139591471271,11.974671838249513,40.743629455566406,0.0,0.0,
23,1485,12777,0,537.2799162814423,34.2471557637033,54.63577651977539,0.0,0.0,
24,248,13027,0,0.002195500866329647,0.0007390343264506232,0.005850228946655989,0.0,0.0,
25,1078,14107,0,450.1113886848665,37.61099188914422,57.37211990356445,0.0,0.0,
26,526,14635,0,5.777523622051317,1.0410483472348906,9.516560554504395,0.0,0.0,
27,160,14797,0,16.319851996090897,9.618343854857084,16.57161521911621,0.0,0.0,
28,433,15232,0,1.6528012540310517,0.3421069118282501,2.0413904190063477,0.0,0.0,
29,248,15482,0,0.3086829681821657,0.104582764797464,0.8397780060768127,0.0,0.0,
30,248,15732,0,0.0018784266856126126,0.0006313056600623484,0.005613609682768583,0.0,0.0,
31,248,15982,0,0.0017464281993697715,0.0005870122993714645,0.003544691251590848,0.0,0.0,
32,248,16232,0,0.0019918022379425354,0.0006696311880557093,0.004155146423727274,0.0,0.0,
33,248,16482,0,0.0017726818391806624,0.0005957480291492116,0.004623662680387497,0.0,0.0,
34,302,16786,0,0.30210130659223716,0.08407324951921034,2.1738507747650146,0.0,0.0,
35,332,17120,0,0.7394082124731436,0.1909353528642852,2.7736752033233643,0.0,0.0,
36,248,17370,0,0.0018470336578629218,0.0006208182582902795,0.005374022293835878,0.0,0.0,
37,436,17808,0,3.911746106885281,1.1314877815388706,8.632908821105957,0.0,0.0,
38,72,17882,0,3.3171117430790202,4.124378579228909,7.758457660675049,0.0,0.0,
39,568,18452,0,5.571200026986812,0.9136911737159864,7.617691993713379,0.0,0.0,
40,248,18702,0,0.008815918952273924,0.0029636726828738895,0.009199296124279499,0.0,0.0,
41,248,18952,0,0.08585071038061318,0.028866731676962153,0.6519044637680054,0.0,0.0,
42,248,19202,0,0.00831762092193684,0.0027959603496950174,0.00956361647695303,0.0,0.0,
43,248,19452,0,0.00885695295717384,0.00297675743410852,0.010802119970321655,0.0,0.0,
44,248,19702,0,0.008555166894965612,0.00287521958377892,0.008968878537416458,0.0,0.0,
45,248,19952,0,0.009026164559593434,0.0030330709297202467,0.008969812653958797,0.0,0.0,
46,248,20202,0,0.00951594734942814,0.0031985058396399365,0.00931711494922638,0.0,0.0,
47,805,21009,0,325.29389465656783,37.11975163039231,54.53879165649414,0.0,0.0,
48,424,21435,0,102.82644728526763,21.83929934752018,40.29323196411133,0.0,0.0,
49,377,21814,0,97.21339877647188,24.786883548185582,42.22914123535156,0.0,0.0,
50,589,22405,0,268.26786433632236,41.41213936914598,59.378902435302734,0.0,0.0,
51,843,23250,0,354.37536212604095,38.49342872475123,55.88539123535156,0.0,0.0,
52,689,23941,0,361.80047516369723,46.0254095646719,60.6511344909668,0.0,0.0,
53,251,24194,0,18.23537448344719,9.523913747936893,22.64927101135254,0.0,0.0,
54,71,24267,0,5.092077663761032,6.485975175197433,14.482488632202148,0.0,0.0,
55,52,24321,0,1.6196753740924599,2.796528478878407,8.321757316589355,0.0,0.0,
56,45,24368,0,1.8383693284016778,3.6452525799136817,9.322959899902344,0.0,0.0,
57,192,24562,0,29.763760134674026,14.878782307387155,23.91159439086914,0.0,0.0,
58,216,24780,0,14.351072872828691,6.741981104560114,14.895962715148926,0.0,0.0,
59,3171,27953,0,1555.0913733604825,43.60219114351617,66.68472290039062,0.0,0.0,168.872
60,245,28200,0,28.421975243984804,11.828125495766765,26.490100860595703,0.0,168.872,
61,111,28313,0,5.733522015758459,4.679895790311642,7.990230083465576,0.0,168.872,
62,362,28677,0,2.8464914877484,0.7349616159383948,5.763143539428711,0.0,168.872,
63,564,29243,0,2.683132771657898,0.4374084022763924,3.636207342147827,0.0,168.872,
64,92,29337,0,5.003214793082895,4.855621515373375,12.874241828918457,0.0,168.872,
65,106,29445,0,7.818004750745002,7.195485507526857,12.46788501739502,0.0,168.872,
66,690,30137,0,329.7183182967666,42.981061028965506,66.30992126464844,0.0,168.872,
67,145,30284,0,11.596506945429713,9.907465375651574,15.2252197265625,0.0,168.872,
68,2582,32868,0,1271.1495887365656,43.18520743013073,66.46039581298828,0.0,168.872,
69,131,33001,0,11.452651468500731,7.615772179151949,13.78852367401123,0.0,168.872,
70,547,33550,0,271.06482250368924,43.95905559262094,67.59281158447266,0.0,168.872,
71,428,33980,0,47.87930976250344,10.313871134236829,25.820615768432617,0.0,168.872,
72,248,34230,0,0.02150409860380314,0.007237189420676816,0.1812804490327835,0.0,168.872,
73,1221,35453,0,512.780461227482,36.76545325659853,67.10984802246094,0.0,168.872,
74,1486,36941,0,782.6626561230407,46.39938387361717,67.25860595703125,0.0,168.872,
75,729,37672,0,348.7833903128637,41.944628548411885,69.04844665527344,0.0,168.872,
76,81,37755,0,4.104278355053254,4.760471090243232,7.4838151931762695,0.0,168.872,
77,248,38005,0,0.015803618983588258,0.0053163319995116086,0.016979798674583435,0.0,168.872,
78,248,38255,0,0.015155874003079675,0.005097383864091582,0.018816368654370308,0.0,168.872,
79,248,38505,0,0.019504751819432745,0.006559098977548626,0.015531511977314949,0.0,168.872,
80,248,38755,0,0.012861516451410274,0.004324978323952124,0.01758241280913353,0.0,168.872,
81,248,39005,0,0.015702547520865345,0.0052793605548011385,0.024626150727272034,0.0,168.872,
