step,episode,buffer_size,total_time,total_steps,ep_reward,ep_steps,ep_count,packages_lost,speed_mean,speed_max,BestLap,LapNo_0,update_model_perf_mean,update_model_perf_max,update_model_perf_std,step_perf_mean,step_perf_max,step_perf_std,step_perf_q99,step_perf_> thres,action_perf_mean,action_perf_max,action_perf_std,policy_loss,entropy_loss,alpha,entropy,LapNo_1
167,1,167,8.440173864364624,170,4.239113983816273,168,1,0,2.885160510053365,10.120275497436523,0.0,0.0,1.257485029828693e-06,3.1999999983156613e-06,3.6219675480820197e-07,0.04009446407185618,0.04643820000000076,0.0007701631680466297,0.041784271999998734,10,9.043532934125302e-05,0.0016933000000030063,0.0001258188718451184,,,,,
379,2,379,18.32562565803528,385,2.9466528325309254,213,2,0,1.6603317045286394,8.529349327087402,0.0,0.0,1.107547169934291e-06,3.200000001868375e-06,4.334369257375066e-07,0.04001486981132095,0.04238760000000141,0.000704168886819054,0.04182318699999911,14,7.473301886773001e-05,0.00012199999999751299,1.408633568896047e-05,,,,,
626,3,626,29.665085554122925,635,0.29125938437001714,248,3,0,0.09803377079257306,0.9795857667922974,0.0,0.0,1.1773279349715547e-06,8.499999999855845e-06,6.477398778856896e-07,0.04004225546558696,0.04286279999999465,0.0008660894784819725,0.04175030599999772,43,7.75530364371802e-05,0.0001907999999986032,1.6155248232220095e-05,,,,,
829,4,829,39.237525939941406,841,5.24751200807618,204,4,0,2.736527950653302,12.047651290893555,0.0,0.0,1.1620689653064631e-06,2.799999997193936e-06,4.1128137507437847e-07,0.04004866502463017,0.04261379999999804,0.0009186337393661879,0.0420501780000005,39,7.748817734003641e-05,0.00031940000000219015,2.3712981170442964e-05,,,,,
996,5,996,47.37062621116638,1011,3.2028546296009455,168,5,0,2.3019929353928696,10.640697479248047,0.0,0.0,1.1736526945833656e-06,2.6999999960253263e-06,4.181802022917264e-07,0.040061524550898,0.04257919999999871,0.0009147899303020733,0.04225368600000039,26,7.669221556896019e-05,0.000141299999995681,1.528616843416339e-05,,,,,
1566,6,1566,71.64991617202759,1584,4.269830861411357,571,6,0,0.8722969730523897,9.8172025680542,0.0,0.0,1.1163157889688847e-06,7.499999995275175e-06,5.183615605057859e-07,0.04004149894736834,0.045202299999999696,0.0007195959541239793,0.04163647499999854,37,7.56008771926587e-05,0.00016190000000904092,1.4681035001446881e-05,,,,,
1949,7,1949,88.41818141937256,1970,3.8063854199763796,384,7,0,0.9686556076543033,5.803332805633545,0.0,0.0,1.1117493473382843e-06,6.999999996537554e-06,5.686251298185795e-07,0.04004418563968707,0.042356100000006336,0.0008330932082341286,0.04185766200000757,60,7.366422976545439e-05,0.00027790000000038617,1.7142997104108742e-05,,,,,
2015,8,2015,92.84490728378296,2039,2.6727547052381424,67,8,0,3.5551306357183283,8.243124008178711,0.0,0.0,0.008422171212122052,0.2748128000000065,0.03407334805999477,0.045446527272726585,0.5940021000000115,0.06829594058233492,0.2346399149999972,3,0.005772415151516244,0.3174893000000054,0.038716457656020366,,,,,
2230,9,2230,102.87163591384888,2257,43.179754250349745,216,9,0,19.36988319713176,33.795204162597656,0.0,0.0,0.018608609302325305,0.025609200000005217,0.003271278245224722,0.04006822186046412,0.042601900000008186,0.0007829097171131316,0.041888616000002515,23,0.00522903348837228,0.010018099999996366,0.0016252319673845273,-16.38417625427246,-0.2730131447315216,0.9414950013160706,1.5551676750183105,
3108,10,3108,139.5006923675537,3138,403.3467183532589,879,10,0,42.29916922442495,66.45587158203125,0.0,0.0,0.01702799225512528,0.0284727000000089,0.0033550641329660263,0.040040371070615255,0.042088500000005524,0.0006861615236374902,0.0415212029999968,83,0.004832730865603926,0.009992400000015778,0.0016661103841933273,,,,,
